id,name,youtube_id,spotify_id
25,Isabel LaRosa,UCtAPxCyQaMxr61zBYFCqsFQ,2cFrymmkijnjDg9SS92EPM
26,Chencho Corleone,UCLEyFXOmaIgG6h4_6wqLx7Q,7d3WFRME3vBY2cgoP38RDo
27,Cardi B,UC6pjHMC4QXMi4llCCjtDXWg,3wyVrVrFCkukjdVIdirGVY
28,GloRilla,UC7UNe3j1xMFEX2xr9TG9xAg,4NYMUsIcUUsBHbV9DICa5x
29,Manuel Turizo,UCY9MU4TO25x1lec9qBNqsQw,2qAwMsiIjTzlmfAkXKvhVA
30,Selena Gomez,UC0rFBO0NLx8Qz0LEZ-jk3qA,0VkWDV0Bfd0EkXvaKAXUTl
31,Rema,UCtyzzW6rIQiGP7gfGTXkhDw,19k8AgwwTSxeaxkOuCQEJs
32,ThxSoMch,UC60kwqBXG52dCd-_oUphnwA,7DQYAz99eM3Y5PkP9WtUew
33,Quavo,UCLEhUvVUBhH8Q9Mx6Bz3BQA,77kULmXAQ6vWer7IIHdGzI
34,Bailey Zimmerman,UCSaJ4_YK4luUvkc9lDrwfKg,2QMsj4XJ7ne2hojxt6v5eb
35,Lizzo,UCr7r9JorcxMDOC5ZQ_ZCs3w,6x2LnllRG5uGarZMsD4iO8
36,Glass Animals,UCZkeQWzPCGeH707eRS6K6Hg,6tPHARSq45lQ8BSALCfkFC
37,The 1975,UCfaTFCTvP8LVmJ4vZNUIRyQ,5QNm7E7RU2m64l6Gliu8Oy
38,Imagine Dragons,UCqk3CdGN_j8IR9z4uBbVPSg,00FQb4jTyendYWaN8pK0wa
39,Sabrina Carpenter,UCgffc95YDBlkGrBAJUHUmXQ,26dSoYclwsYLMAKD3tpOr4
40,Omar Apollo,UCcd0tBtip8YzdTCUw3OVv_Q,3PhoLpVuITZKcymswpck5b
41,Joji,UCN9HPn2fq-NL8M5_kp4RWZQ,5WUlDfRSoLAfcVSX1WnrxN
42,Noah Kahan,UC2QTDn02Xobvy_N2bb_Zzlw,3oSJ7TBVCWMDMiYjXNiCKE
